;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14
1093468;1;2;6;7;9;12;13;16;17;18;20;21;22;23;25
1093470;1;2;6;7;9;12;13;16;17;18;20;21;23;24;25
1093879;1;2;6;7;9;13;14;17;18;20;21;22;23;24;25
1161002;1;3;4;5;6;7;8;10;13;16;17;20;22;23;25
1161013;1;3;4;5;6;7;8;10;13;16;18;19;20;21;25
1161034;1;3;4;5;6;7;8;10;13;16;18;20;21;23;25
1161047;1;3;4;5;6;7;8;10;13;16;19;20;21;22;25
1161048;1;3;4;5;6;7;8;10;13;16;19;20;21;23;24
1161052;1;3;4;5;6;7;8;10;13;16;19;20;22;23;25
1161054;1;3;4;5;6;7;8;10;13;16;19;20;23;24;25
1161061;1;3;4;5;6;7;8;10;13;16;20;21;22;23;25
1161063;1;3;4;5;6;7;8;10;13;16;20;21;23;24;25
1174334;1;3;4;5;6;7;9;10;14;16;17;20;22;23;25
1174345;1;3;4;5;6;7;9;10;14;16;18;19;20;21;25
1174366;1;3;4;5;6;7;9;10;14;16;18;20;21;23;25
1174379;1;3;4;5;6;7;9;10;14;16;19;20;21;22;25
1174380;1;3;4;5;6;7;9;10;14;16;19;20;21;23;24
1174384;1;3;4;5;6;7;9;10;14;16;19;20;22;23;25
1174386;1;3;4;5;6;7;9;10;14;16;19;20;23;24;25
1174393;1;3;4;5;6;7;9;10;14;16;20;21;22;23;25
1174395;1;3;4;5;6;7;9;10;14;16;20;21;23;24;25
1202952;1;3;4;5;6;8;9;12;13;14;17;20;22;23;25
1202963;1;3;4;5;6;8;9;12;13;14;18;19;20;21;25
1202984;1;3;4;5;6;8;9;12;13;14;18;20;21;23;25
1202997;1;3;4;5;6;8;9;12;13;14;19;20;21;22;25
1202998;1;3;4;5;6;8;9;12;13;14;19;20;21;23;24
1203002;1;3;4;5;6;8;9;12;13;14;19;20;22;23;25
1203004;1;3;4;5;6;8;9;12;13;14;19;20;23;24;25
1203011;1;3;4;5;6;8;9;12;13;14;20;21;22;23;25
1203013;1;3;4;5;6;8;9;12;13;14;20;21;23;24;25
1203934;1;3;4;5;6;8;9;12;14;19;20;21;22;23;25
1203936;1;3;4;5;6;8;9;12;14;19;20;21;23;24;25
1215306;1;3;4;5;6;8;12;13;14;16;17;20;21;23;25
1227990;1;3;4;5;6;9;13;14;16;18;19;20;21;22;25
1227991;1;3;4;5;6;9;13;14;16;18;19;20;21;23;24
1227995;1;3;4;5;6;9;13;14;16;18;19;20;22;23;25
1227997;1;3;4;5;6;9;13;14;16;18;19;20;23;24;25
1228004;1;3;4;5;6;9;13;14;16;18;20;21;22;23;25
1228006;1;3;4;5;6;9;13;14;16;18;20;21;23;24;25
1231751;1;3;4;5;6;10;12;13;14;16;17;20;21;23;25
1235897;1;3;4;5;6;12;13;16;17;18;19;20;21;23;24
1235901;1;3;4;5;6;12;13;16;17;18;19;20;22;23;25
1235903;1;3;4;5;6;12;13;16;17;18;19;20;23;24;25
1235910;1;3;4;5;6;12;13;16;17;18;20;21;22;23;25
1235912;1;3;4;5;6;12;13;16;17;18;20;21;23;24;25
1236321;1;3;4;5;6;13;14;17;18;20;21;22;23;24;25
1322292;1;3;4;6;7;8;9;12;13;14;17;20;22;23;25
1322303;1;3;4;6;7;8;9;12;13;14;18;19;20;21;25
1322324;1;3;4;6;7;8;9;12;13;14;18;20;21;23;25
1322337;1;3;4;6;7;8;9;12;13;14;19;20;21;22;25
1322338;1;3;4;6;7;8;9;12;13;14;19;20;21;23;24
1322342;1;3;4;6;7;8;9;12;13;14;19;20;22;23;25
1322344;1;3;4;6;7;8;9;12;13;14;19;20;23;24;25
1322351;1;3;4;6;7;8;9;12;13;14;20;21;22;23;25
1322353;1;3;4;6;7;8;9;12;13;14;20;21;23;24;25
1323274;1;3;4;6;7;8;9;12;14;19;20;21;22;23;25
1323276;1;3;4;6;7;8;9;12;14;19;20;21;23;24;25
1334646;1;3;4;6;7;8;12;13;14;16;17;20;21;23;25
1347330;1;3;4;6;7;9;13;14;16;18;19;20;21;22;25
1347331;1;3;4;6;7;9;13;14;16;18;19;20;21;23;24
1347335;1;3;4;6;7;9;13;14;16;18;19;20;22;23;25
1347337;1;3;4;6;7;9;13;14;16;18;19;20;23;24;25
1347344;1;3;4;6;7;9;13;14;16;18;20;21;22;23;25
1347346;1;3;4;6;7;9;13;14;16;18;20;21;23;24;25
1351091;1;3;4;6;7;10;12;13;14;16;17;20;21;23;25
1355237;1;3;4;6;7;12;13;16;17;18;19;20;21;23;24
1355241;1;3;4;6;7;12;13;16;17;18;19;20;22;23;25
1355243;1;3;4;6;7;12;13;16;17;18;19;20;23;24;25
1355250;1;3;4;6;7;12;13;16;17;18;20;21;22;23;25
1355252;1;3;4;6;7;12;13;16;17;18;20;21;23;24;25
1355661;1;3;4;6;7;13;14;17;18;20;21;22;23;24;25
1448203;1;3;5;6;7;8;9;12;13;14;17;18;19;20;24
1448277;1;3;5;6;7;8;9;12;13;14;18;19;20;23;24
1448299;1;3;5;6;7;8;9;12;13;14;18;20;23;24;25
1448311;1;3;5;6;7;8;9;12;13;14;19;20;22;23;24
1448320;1;3;5;6;7;8;9;12;13;14;20;21;22;23;24
1448322;1;3;5;6;7;8;9;12;13;14;20;21;22;24;25
1448324;1;3;5;6;7;8;9;12;13;14;20;22;23;24;25
1449243;1;3;5;6;7;8;9;12;14;19;20;21;22;23;24
1449245;1;3;5;6;7;8;9;12;14;19;20;21;22;24;25
1449247;1;3;5;6;7;8;9;12;14;19;20;22;23;24;25
1450640;1;3;5;6;7;8;9;14;16;18;19;20;21;22;25
1450641;1;3;5;6;7;8;9;14;16;18;19;20;21;23;24
1450645;1;3;5;6;7;8;9;14;16;18;19;20;22;23;25
1450647;1;3;5;6;7;8;9;14;16;18;19;20;23;24;25
1450654;1;3;5;6;7;8;9;14;16;18;20;21;22;23;25
1450656;1;3;5;6;7;8;9;14;16;18;20;21;23;24;25
1460619;1;3;5;6;7;8;12;13;14;16;17;20;22;23;25
1460630;1;3;5;6;7;8;12;13;14;16;18;19;20;21;25
1460651;1;3;5;6;7;8;12;13;14;16;18;20;21;23;25
1460664;1;3;5;6;7;8;12;13;14;16;19;20;21;22;25
1460665;1;3;5;6;7;8;12;13;14;16;19;20;21;23;24
1460669;1;3;5;6;7;8;12;13;14;16;19;20;22;23;25
1460671;1;3;5;6;7;8;12;13;14;16;19;20;23;24;25
1460678;1;3;5;6;7;8;12;13;14;16;20;21;22;23;25
1460680;1;3;5;6;7;8;12;13;14;16;20;21;23;24;25
1473304;1;3;5;6;7;9;13;14;16;18;19;20;22;23;24
1473313;1;3;5;6;7;9;13;14;16;18;20;21;22;23;24
1473315;1;3;5;6;7;9;13;14;16;18;20;21;22;24;25
1473317;1;3;5;6;7;9;13;14;16;18;20;22;23;24;25
1477064;1;3;5;6;7;10;12;13;14;16;17;20;22;23;25
1477075;1;3;5;6;7;10;12;13;14;16;18;19;20;21;25
